"id","name","value","created","modified"
"","name","baserCMS inc. [デモ]","",""
"","keyword","baser,CMS,コンテンツマネジメントシステム,開発支援","",""
"","description","baserCMS は、CakePHPを利用し、環境準備の素早さに重点を置いた基本開発支援プロジェクトです。WEBサイトに最低限必要となるプラグイン、そしてそのプラグインを組み込みやすい管理画面、認証付きのメンバーマイページを最初から装備しています。","",""
"","address","福岡県","",""
"","theme","demo","",""
"","email","","",""
"","widget_area","1","",""
"","maintenance","0","",""
"","mail_encode","ISO-2022-JP","",""
"","smtp_host","","",""
"","smtp_user","","",""
"","smtp_password","","",""
"","formal_name","baserCMS inc. [デモ]","",""
"","admin_list_num","10","",""
"","google_analytics_id","","",""
"","content_categories","","",""
"","content_types","","",""
"","root_owner_id","","",""
"","category_permission","","",""
"","admin_theme","","",""
"","login_credit","1","",""
"","first_access","1","",""
